"","Artist.ID","Band.ID","Band.name"
"1",-1,139,"Nile"
"2",-1,26148,"Karl Sanders"
"3",-1,111290,"Morriah"
"4",-2,3540375765,"Narcotic Wasteland"
"5",-2,139,"Nile"
"6",-2,13837,"Lecherous Nocturne"
"7",-2,43689,"Teratosis"
"20",-5,68,"Morbid Angel"
"21",-6,68,"Morbid Angel"
"29",-9,139,"Nile"
"30",-9,111290,"Morriah"
"31",-9,26148,"Karl Sanders"
"116",-32,3826,"Terminally Your Aborted Ghost"
"117",-32,16475,"Upon Crimson Wings"
"118",-32,3540265509,"Composted"
"119",-32,3540418321,"Bacterial Husk"
"120",-32,61855,"Sexcrement"
"121",-32,61963,"Strappado"
"122",-32,3540286795,"Boarcorpse"
"160",-40,3540333391,"Arch / Matheos"
"161",-40,3540319754,"Jim Matheos"
"162",-40,604,"Fates Warning"
"163",-40,7950,"OSI"
"164",-40,9390,"John Arch"
"165",-40,107314,"Misfit"
"168",-43,4,"Iced Earth"
"169",-43,98,"Halford"
"170",-43,1562,"Juggernaut"
"171",-43,321,"Rob Rock"
"172",-43,1191,"Riot V"
"173",-43,604,"Fates Warning"
"174",-43,8414,"John West"
"175",-43,8608,"Painmuseum"
"176",-43,2018,"Spastic Ink"
"177",-43,4547,"Sebastian Bach"
"178",-43,3540401779,"Zierler"
"179",-43,3540333391,"Arch / Matheos"
"180",-43,56544,"Happy Kitties"
"205",-48,8031,"Redemption"
"206",-48,5910,"Syrus"
"207",-48,604,"Fates Warning"
"211",-50,3540333391,"Arch / Matheos"
"212",-50,14986,"Joey Vera"
"213",-50,7950,"OSI"
"214",-50,9390,"John Arch"
"215",-50,476,"Seven Witches"
"216",-50,604,"Fates Warning"
"217",-50,280,"Armored Saint"
"218",-50,3540393672,"Motor Sister"
"219",-51,107314,"Misfit"
"220",-51,604,"Fates Warning"
"238",-57,3540413696,"Dramatica"
"239",-57,3540419656,"Hours at Hand"
"240",-57,3540450760,"Spirits of Fire"
"241",-57,3540443546,"Graham Bonnet Band"
"242",-57,3540381554,"Forces United"
"243",-57,82189,"Under-Radio"
"244",-57,118264,"Slavior"
"245",-57,16933,"Cans"
"246",-57,604,"Fates Warning"
"247",-57,264,"Warlord"
"248",-57,3540350985,"Dark Center Light"
"249",-57,3540351766,"Zeroasis"
"250",-57,3540343898,"Shattered Destiny"
"251",-57,3540319754,"Jim Matheos"
"252",-57,28904,"Elegacy"
"253",-58,6665,"Inquisition"
"263",-60,3540333391,"Arch / Matheos"
"264",-60,604,"Fates Warning"
"265",-60,9390,"John Arch"
"266",-60,107314,"Misfit"
"267",-61,3540384673,"Pregasm"
"268",-61,6665,"Inquisition"
"342",-90,3540384330,"Entierro"
"343",-90,3540423646,"Arduini/Balich"
"344",-90,3540363978,"Freedoms Reign"
"345",-90,107314,"Misfit"
"346",-90,604,"Fates Warning"
"403",-111,887,"Kataklysm"
"404",-111,7357,"Diabolic Possession"
"405",-111,3024,"Anal Blast"
"406",-111,36419,"Nasferatu"
"407",-111,42066,"Disturbed"
"408",-111,3540292626,"(sic)"
"590",-167,21963,"Nauglath"
"591",-167,8261,"Hordes of Nebulah"
"592",-168,97987,"Amaran's Plight"
"595",-170,125,"Metallica"
"603",-175,125,"Metallica"
"604",-175,173,"Exodus"
"608",-181,125,"Metallica"
"609",-181,195,"Ozzy Osbourne"
"610",-181,959,"Suicidal Tendencies"
"611",-181,4079,"Jerry Cantrell"
"612",-181,3540307320,"Infectious Grooves"
"619",-184,4984,"MD.45"
"620",-184,125,"Metallica"
"621",-184,138,"Megadeth"
"624",-186,21963,"Nauglath"
"625",-186,8261,"Hordes of Nebulah"
"627",-188,37,"Dream Theater"
"628",-188,604,"Fates Warning"
"629",-188,2213,"Majesty"
"630",-188,7950,"OSI"
"632",-193,2153,"Insidious Decrepancy"
"633",-193,2665,"Viral Load"
"634",-193,19072,"Braced for Nails"
"635",-193,3540370368,"Oppressive Force"
"636",-193,3540295324,"Extremely Rotten"
"637",-193,3540309496,"Uncleansed"
"638",-193,39434,"Grotesque Formation"
"639",-194,1549,"Trauma"
"640",-194,125,"Metallica"
"641",-196,125,"Metallica"
"642",-196,15043,"Phantasm"
"644",-199,21963,"Nauglath"
"645",-199,8261,"Hordes of Nebulah"
"647",-201,115,"Voivod"
"648",-201,125,"Metallica"
"649",-201,195,"Ozzy Osbourne"
"650",-201,621,"Flotsam and Jetsam"
"651",-201,13582,"IR8"
"652",-201,13583,"Sexoturica"
"653",-201,3540357928,"Newsted"
"654",-201,3540330157,"WhoCares"
"659",-206,3540401278,"Metal Allegiance"
"660",-206,3540432636,"Sons of Apollo"
"661",-206,3540331861,"Adrenaline Mob"
"662",-206,56133,"S.A. Adams"
"663",-206,42042,"Rising Power"
"664",-206,112408,"Liquid Trio Experiment"
"665",-206,37,"Dream Theater"
"666",-206,389,"Liquid Tension Experiment"
"667",-206,6176,"Inner Sanctum"
"668",-206,5503,"Transatlantic"
"669",-206,9390,"John Arch"
"670",-206,7950,"OSI"
"671",-206,2213,"Majesty"
"692",-215,138,"Megadeth"
"693",-215,548,"Jag Panzer"
"694",-215,2711,"Ballistic"
"695",-215,3540262628,"Industrial Eden"
"696",-215,3540400189,"Act of Defiance"
"701",-218,138,"Megadeth"
"702",-218,4578,"Killing Machine"
"703",-218,49705,"Temple of Brutality"
"704",-218,51785,"F5"
"705",-218,3540401278,"Metal Allegiance"
"706",-218,3540374132,"Altitudes & Attitude"
"707",-218,3540299568,"Angels of Babylon"
"708",-218,3540344598,"Knight Fury"
"709",-218,3540321197,"David Ellefson"
"728",-224,50461,"Duskmachine"
"729",-224,812,"Tad Morose"
"730",-224,140,"Annihilator"
"731",-224,168,"Overkill"
"732",-224,284,"Liege Lord"
"733",-224,1966,"Ramrod"
"789",-252,21963,"Nauglath"
"790",-252,8261,"Hordes of Nebulah"
"799",-257,21963,"Nauglath"
"800",-257,8261,"Hordes of Nebulah"
"817",-265,72,"Slayer"
"823",-267,72,"Slayer"
"836",-278,374,"Forbidden"
"837",-278,70,"Testament"
"838",-278,72,"Slayer"
"839",-278,173,"Exodus"
"840",-278,3540379005,"From Hell"
"841",-278,35326,"Forbidden Evil"
"854",-283,8261,"Hordes of Nebulah"
"855",-283,21963,"Nauglath"
"862",-285,3540287097,"Primeval Realm"
"863",-285,13988,"Sacrificial Blood"
"864",-285,36757,"Ascendant"
"865",-285,27285,"Arctic Flame"
"951",-304,651,"Balistik Kick"
"952",-304,27285,"Arctic Flame"
"1036",-337,253,"Imagika"
"1037",-337,255,"King Diamond"
"1038",-337,530,"Aghora"
"1039",-337,1786,"Autumn Silence"
"1040",-337,14262,"Bat Castle"
"1041",-337,108439,"Judgement"
"1042",-337,99069,"Surgeon"
"1043",-337,120983,"Legacy of Disorder"
"1044",-337,32922,"Shaolin Death Squad"
"1045",-337,34852,"Michael Harris"
"1046",-337,3540336563,"Truncator"
"1047",-337,3540367046,"Synkronizity"
"1048",-337,3540418893,"Wings of Dahak"
"1079",-347,4612,"Crucifier"
"1080",-347,10233,"Pale Existence"
"1081",-347,3540366613,"Seeds of Perdition"
"1083",-349,2794,"Psycho Scream"
"1084",-349,2801,"Pharaoh"
"1085",-349,549,"Control Denied"
"1086",-349,10047,"Vicious Cycle"
"1087",-349,3540261874,"Angband"
"1088",-349,3540387326,"Xthirt13n"
"1089",-349,3540450650,"313"
"1090",-349,49046,"Triple X"
"1223",-387,1293,"Toxik"
"1224",-387,3540343373,"Lucertola"
"1232",-391,65304,"The Great Kat"
"1233",-391,11821,"Prime Evil"
"1234",-391,5441,"Blood Farmers"
"1235",-391,1293,"Toxik"
"1236",-391,116786,"Blackened Sky"
"1237",-391,3540343373,"Lucertola"
"1238",-391,3540334163,"Buzzmeg"
"1239",-391,3540334164,"Sons of Celluloid"
"1282",-406,1293,"Toxik"
"1338",-422,3540287097,"Primeval Realm"
"1339",-422,88687,"Horrifier"
"1340",-422,95558,"Eliminator"
"1341",-422,45228,"Swashbuckle"
"1444",-442,567,"Darkmoon"
"1445",-442,139,"Nile"
"1446",-442,1954,"Demonic Christ"
"1447",-442,3540396369,"In-Defilade"
"1462",-449,4654,"Holy Mother"
"1463",-449,16965,"Vitalij Kuprij"
"1464",-449,19814,"MCM"
