"","V1","V2"
"1","Karl Sanders","Nile"
"2","Karl Sanders","Karl Sanders"
"3","Karl Sanders","Morriah"
"4","Dallas Toler-Wade","Narcotic Wasteland"
"5","Dallas Toler-Wade","Nile"
"6","Dallas Toler-Wade","Lecherous Nocturne"
"7","Dallas Toler-Wade","Teratosis"
"8","David Vincent","Morbid Angel"
"9","Trey Azagthoth","Morbid Angel"
"10","Pete Hammoura","Nile"
"11","Pete Hammoura","Morriah"
"12","Pete Hammoura","Karl Sanders"
"13","Mark Richards","Terminally Your Aborted Ghost"
"14","Mark Richards","Upon Crimson Wings"
"15","Mark Richards","Composted"
"16","Mark Richards","Bacterial Husk"
"17","Mark Richards","Sexcrement"
"18","Mark Richards","Strappado"
"19","Mark Richards","Boarcorpse"
"20","Jim Matheos","Arch / Matheos"
"21","Jim Matheos","Jim Matheos"
"22","Jim Matheos","Fates Warning"
"23","Jim Matheos","OSI"
"24","Jim Matheos","John Arch"
"25","Jim Matheos","Misfit"
"26","Bobby Jarzombek","Iced Earth"
"27","Bobby Jarzombek","Halford"
"28","Bobby Jarzombek","Juggernaut"
"29","Bobby Jarzombek","Rob Rock"
"30","Bobby Jarzombek","Riot V"
"31","Bobby Jarzombek","Fates Warning"
"32","Bobby Jarzombek","John West"
"33","Bobby Jarzombek","Painmuseum"
"34","Bobby Jarzombek","Spastic Ink"
"35","Bobby Jarzombek","Sebastian Bach"
"36","Bobby Jarzombek","Zierler"
"37","Bobby Jarzombek","Arch / Matheos"
"38","Bobby Jarzombek","Happy Kitties"
"39","Ray Alder","Redemption"
"40","Ray Alder","Syrus"
"41","Ray Alder","Fates Warning"
"42","Joey Vera","Arch / Matheos"
"43","Joey Vera","Joey Vera"
"44","Joey Vera","OSI"
"45","Joey Vera","John Arch"
"46","Joey Vera","Seven Witches"
"47","Joey Vera","Fates Warning"
"48","Joey Vera","Armored Saint"
"49","Joey Vera","Motor Sister"
"50","Joe DiBiase","Misfit"
"51","Joe DiBiase","Fates Warning"
"52","Mark Zonder","Dramatica"
"53","Mark Zonder","Hours at Hand"
"54","Mark Zonder","Spirits of Fire"
"55","Mark Zonder","Graham Bonnet Band"
"56","Mark Zonder","Forces United"
"57","Mark Zonder","Under-Radio"
"58","Mark Zonder","Slavior"
"59","Mark Zonder","Cans"
"60","Mark Zonder","Fates Warning"
"61","Mark Zonder","Warlord"
"62","Mark Zonder","Dark Center Light"
"63","Mark Zonder","Zeroasis"
"64","Mark Zonder","Shattered Destiny"
"65","Mark Zonder","Jim Matheos"
"66","Mark Zonder","Elegacy"
"67","Dagon","Inquisition"
"68","John Arch","Arch / Matheos"
"69","John Arch","Fates Warning"
"70","John Arch","John Arch"
"71","John Arch","Misfit"
"72","Incubus","Pregasm"
"73","Incubus","Inquisition"
"74","Victor Arduini","Entierro"
"75","Victor Arduini","Arduini/Balich"
"76","Victor Arduini","Freedoms Reign"
"77","Victor Arduini","Misfit"
"78","Victor Arduini","Fates Warning"
"79","Nick Miller","Kataklysm"
"80","Nick Miller","Diabolic Possession"
"81","Nick Miller","Anal Blast"
"82","Nick Miller","Nasferatu"
"83","Nick Miller","Disturbed"
"84","Nick Miller","(sic)"
"85","Brett Krout","Nauglath"
"86","Brett Krout","Hordes of Nebulah"
"87","Nick D'Virgilio","Amaran's Plight"
"88","James Hetfield","Metallica"
"89","Kirk Hammett","Metallica"
"90","Kirk Hammett","Exodus"
"91","Robert Trujillo","Metallica"
"92","Robert Trujillo","Ozzy Osbourne"
"93","Robert Trujillo","Suicidal Tendencies"
"94","Robert Trujillo","Jerry Cantrell"
"95","Robert Trujillo","Infectious Grooves"
"96","Dave Mustaine","MD.45"
"97","Dave Mustaine","Metallica"
"98","Dave Mustaine","Megadeth"
"99","Joshua Krout","Nauglath"
"100","Joshua Krout","Hordes of Nebulah"
"101","Kevin Moore","Dream Theater"
"102","Kevin Moore","Fates Warning"
"103","Kevin Moore","Majesty"
"104","Kevin Moore","OSI"
"105","Shawn Whitaker","Insidious Decrepancy"
"106","Shawn Whitaker","Viral Load"
"107","Shawn Whitaker","Braced for Nails"
"108","Shawn Whitaker","Oppressive Force"
"109","Shawn Whitaker","Extremely Rotten"
"110","Shawn Whitaker","Uncleansed"
"111","Shawn Whitaker","Grotesque Formation"
"112","Cliff Burton","Trauma"
"113","Cliff Burton","Metallica"
"114","Ron McGovney","Metallica"
"115","Ron McGovney","Phantasm"
"116","Ken Stinson","Nauglath"
"117","Ken Stinson","Hordes of Nebulah"
"118","Jason Newsted","Voivod"
"119","Jason Newsted","Metallica"
"120","Jason Newsted","Ozzy Osbourne"
"121","Jason Newsted","Flotsam and Jetsam"
"122","Jason Newsted","IR8"
"123","Jason Newsted","Sexoturica"
"124","Jason Newsted","Newsted"
"125","Jason Newsted","WhoCares"
"126","Mike Portnoy","Metal Allegiance"
"127","Mike Portnoy","Sons of Apollo"
"128","Mike Portnoy","Adrenaline Mob"
"129","Mike Portnoy","S.A. Adams"
"130","Mike Portnoy","Rising Power"
"131","Mike Portnoy","Liquid Trio Experiment"
"132","Mike Portnoy","Dream Theater"
"133","Mike Portnoy","Liquid Tension Experiment"
"134","Mike Portnoy","Inner Sanctum"
"135","Mike Portnoy","Transatlantic"
"136","Mike Portnoy","John Arch"
"137","Mike Portnoy","OSI"
"138","Mike Portnoy","Majesty"
"139","Chris Broderick","Megadeth"
"140","Chris Broderick","Jag Panzer"
"141","Chris Broderick","Ballistic"
"142","Chris Broderick","Industrial Eden"
"143","Chris Broderick","Act of Defiance"
"144","David Ellefson","Megadeth"
"145","David Ellefson","Killing Machine"
"146","David Ellefson","Temple of Brutality"
"147","David Ellefson","F5"
"148","David Ellefson","Metal Allegiance"
"149","David Ellefson","Altitudes & Attitude"
"150","David Ellefson","Angels of Babylon"
"151","David Ellefson","Knight Fury"
"152","David Ellefson","David Ellefson"
"153","Joe Comeau","Duskmachine"
"154","Joe Comeau","Tad Morose"
"155","Joe Comeau","Annihilator"
"156","Joe Comeau","Overkill"
"157","Joe Comeau","Liege Lord"
"158","Joe Comeau","Ramrod"
"159","J. Thor Walker","Nauglath"
"160","J. Thor Walker","Hordes of Nebulah"
"161","Eric Walker","Nauglath"
"162","Eric Walker","Hordes of Nebulah"
"163","Jeff Hanneman","Slayer"
"164","Kerry King","Slayer"
"165","Paul Bostaph","Forbidden"
"166","Paul Bostaph","Testament"
"167","Paul Bostaph","Slayer"
"168","Paul Bostaph","Exodus"
"169","Paul Bostaph","From Hell"
"170","Paul Bostaph","Forbidden Evil"
"171","Chris Melvin","Hordes of Nebulah"
"172","Chris Melvin","Nauglath"
"173","Jon Norberg","Primeval Realm"
"174","Jon Norberg","Sacrificial Blood"
"175","Jon Norberg","Ascendant"
"176","Jon Norberg","Arctic Flame"
"177","Mike Paradine","Balistik Kick"
"178","Mike Paradine","Arctic Flame"
"179","Matt Thompson","Imagika"
"180","Matt Thompson","King Diamond"
"181","Matt Thompson","Aghora"
"182","Matt Thompson","Autumn Silence"
"183","Matt Thompson","Bat Castle"
"184","Matt Thompson","Judgement"
"185","Matt Thompson","Surgeon"
"186","Matt Thompson","Legacy of Disorder"
"187","Matt Thompson","Shaolin Death Squad"
"188","Matt Thompson","Michael Harris"
"189","Matt Thompson","Truncator"
"190","Matt Thompson","Synkronizity"
"191","Matt Thompson","Wings of Dahak"
"192","Chris Kerns","Crucifier"
"193","Chris Kerns","Pale Existence"
"194","Chris Kerns","Seeds of Perdition"
"195","Tim Aymar","Psycho Scream"
"196","Tim Aymar","Pharaoh"
"197","Tim Aymar","Control Denied"
"198","Tim Aymar","Vicious Cycle"
"199","Tim Aymar","Angband"
"200","Tim Aymar","Xthirt13n"
"201","Tim Aymar","313"
"202","Tim Aymar","Triple X"
"203","Josh Christian","Toxik"
"204","Josh Christian","Lucertola"
"205","Tad Leger","The Great Kat"
"206","Tad Leger","Prime Evil"
"207","Tad Leger","Blood Farmers"
"208","Tad Leger","Toxik"
"209","Tad Leger","Blackened Sky"
"210","Tad Leger","Lucertola"
"211","Tad Leger","Buzzmeg"
"212","Tad Leger","Sons of Celluloid"
"213","Brian Bonini","Toxik"
"214","Joe Potash","Primeval Realm"
"215","Joe Potash","Horrifier"
"216","Joe Potash","Eliminator"
"217","Joe Potash","Swashbuckle"
"218","Jon Vesano","Darkmoon"
"219","Jon Vesano","Nile"
"220","Jon Vesano","Demonic Christ"
"221","Jon Vesano","In-Defilade"
"222","Randy Coven","Holy Mother"
"223","Randy Coven","Vitalij Kuprij"
"224","Randy Coven","MCM"
"225","Randy Coven","Jack Starr"
"226","Randy Coven","Ark"
"227","Randy Coven","Yngwie J. Malmsteen"
"228","Randy Coven","X-Mas Project"
"229","Randy Coven","Magni Animi Viri"
"230","Randy Coven","Shadow Eden"
"231","John Macaluso","Holy Mother"
"232","John Macaluso","Vitalij Kuprij"
"233","John Macaluso","Chris Caffery"
"234","John Macaluso","Mullmuzzler"
"235","John Macaluso","Alex Masi"
"236","John Macaluso","Yngwie J. Malmsteen"
"237","John Macaluso","Labÿrinth"
"238","John Macaluso","Riot V"
"239","John Macaluso","Powermad"
"240","John Macaluso","Ark"
"241","John Macaluso","MCM"
"242","John Macaluso","Jorn"
"243","John Macaluso","TNT"
"244","John Macaluso","Unwritten Pages"
"245","John Macaluso","Mastercastle"
"246","John Macaluso","Fool's Game"
"247","John Macaluso","Stone Leaders"
"248","John Macaluso","Artlantica"
"249","John Macaluso","Magni Animi Viri"
"250","John Macaluso","Stygia"
"251","John Macaluso","HolyHell"
"252","John Macaluso","Masterlast"
"253","John Macaluso","John Macaluso & Union Radio"
"254","Kyle Thomas","Alabama Thunderpussy"
"255","Kyle Thomas","Floodgate"
"256","Kyle Thomas","Exhorder"
"257","Kyle Thomas","Trouble"
"258","Kyle Thomas","Drip"
"259","Kyle Thomas","Pitts vs. Preps"
"260","Kyle Thomas","Jones's Lounge"
"261","Kyle Thomas","Penalty"
"262","Seth Davis","Exhorder"
"263","Frankie Sparcello","Exhorder"
"264","Jon Schaffer","Sons of Liberty"
"265","Jon Schaffer","Purgatory"
"266","Jon Schaffer","Iced Earth"
"267","Jon Schaffer","Demons & Wizards"
"268","Jason Keyser","Mucopus"
"269","Jason Keyser","Detriment"
"270","Jason Keyser","Skinless"
"271","Jason Keyser","Origin"
"272","Jason Keyser","Crator"
"273","Mike Flores","Troglodyte"
"274","Mike Flores","Origin"
"275","Mike Flores","Gorgasm"
"276","John Longstreth","Origin"
"277","John Longstreth","Skinless"
"278","John Longstreth","Angelcorpse"
"279","John Longstreth","Gorguts"
"280","John Longstreth","Possession"
"281","John Longstreth","The Red Chord"
"282","John Longstreth","Dim Mak"
"283","John Longstreth","Unmerciful"
"284","John Longstreth","Crator"
"285","John Longstreth","Malicious Intent"
"286","Mica Meneke","Sol Asunder"
"287","Mica Meneke","Origin"
"288","Mica Meneke","Legion Victorious"
"289","Mica Meneke","Ontogeny"
"290","Doug Williams","Godless Rising"
"291","Doug Williams","Origin"
"292","Doug Williams","Cephalic Carnage"
"293","Doug Williams","Solstice"
"294","Dobber Beverly","Malignant Altar"
"295","Dobber Beverly","Oceans of Slumber"
"296","Dobber Beverly","Necrofier"
"297","Dobber Beverly","Images of Violence"
"298","Dobber Beverly","Viral Load"
"299","Dobber Beverly","Ingurgitate"
"300","Dobber Beverly","Infernal Dominion"
"301","Dobber Beverly","Sect of Execration"
"302","Dobber Beverly","Braced for Nails"
"303","Dobber Beverly","War Master"
"304","Dobber Beverly","Demoniacal Genuflection"
"305","Dobber Beverly","Insect Warfare"
"306","Angel Ochoa","Disgorge"
"307","Angel Ochoa","Amputated Genitals"
"308","Angel Ochoa","Condemned"
"309","Angel Ochoa","Cephalotripsy"
"310","Paul Hickey","Condemned"
"311","Elektrokutioner","Encoffination"
"312","Elektrokutioner","Scaremaker"
"313","Elektrokutioner","Black Pentagram Cult"
"314","Elektrokutioner","Festered"
"315","Elektrokutioner","Loathsome"
"316","Elektrokutioner","Tombstones"
"317","Elektrokutioner","Wooden Stake"
"318","Elektrokutioner","Ghoulgotha"
"319","Elektrokutioner","Beyond Hell"
"320","Elektrokutioner","Ekthros"
"321","Elektrokutioner","Decrepitaph"
"322","Elektrokutioner","Messial"
"323","Elektrokutioner","Howling"
"324","Elektrokutioner","Cauldron Burial"
"325","Elektrokutioner","Gloomed"
"326","Elektrokutioner","Skincrawler"
"327","Elektrokutioner","Foreboding"
"328","Elektrokutioner","Father Befouled"
"329","Elektrokutioner","Shrouded"
"330","Elektrokutioner","Skulleton"
"331","Elektrokutioner","Eternal Suffering"
"332","Gene Hoglan","Mechanism"
"333","Gene Hoglan","Brendon Small"
"334","Gene Hoglan","Tenet"
"335","Gene Hoglan","Daemon"
"336","Gene Hoglan","Devin Townsend"
"337","Gene Hoglan","Viking"
"338","Gene Hoglan","Zimmers Hole"
"339","Gene Hoglan","Forbidden"
"340","Gene Hoglan","Strapping Young Lad"
"341","Gene Hoglan","Testament"
"342","Gene Hoglan","Dark Angel"
"343","Gene Hoglan","Death"
"344","Gene Hoglan","Fear Factory"
"345","Gene Hoglan","Wargod"
"346","Gene Hoglan","Memorain"
"347","Gene Hoglan","Just Cause"
"348","Gene Hoglan","Meldrum"
"349","Gene Hoglan","Dethklok"
"350","Gene Hoglan","Pitch Black Forecast"
"351","Blue Jensen","Guttural Secrete"
"352","Blue Jensen","Euphegenia"
"353","Randy Thompson","Euphegenia"
"354","Randy Thompson","Guttural Secrete"
"355","Burton C. Bell","Geezer"
"356","Burton C. Bell","Fear Factory"
"357","Burton C. Bell","Ministry"
"358","Dino Cazares","BodyBag"
"359","Dino Cazares","Divine Heresy"
"360","Dino Cazares","Fear Factory"
"361","Dino Cazares","Brujeria"
"362","Dino Cazares","Asesino"
"363","Raymond Herrera","Asesino"
"364","Raymond Herrera","Brujeria"
"365","Raymond Herrera","Fear Factory"
"366","Raymond Herrera","Phobia"
"367","Raymond Herrera","Arkaea"
"368","King Fowley","Doomstone"
"369","King Fowley","Abominog"
"370","King Fowley","October 31"
"371","King Fowley","Deceased"
"372","Steve ""Zetro"" Souza","Dublin Death Patrol"
"373","Steve ""Zetro"" Souza","Hatriot"
"374","Steve ""Zetro"" Souza","Legacy"
"375","Steve ""Zetro"" Souza","Exodus"
"376","Steve ""Zetro"" Souza","Tenet"
"377","Glen Alvelais","Tenet"
"378","Glen Alvelais","Bizarro"
"379","Glen Alvelais","Scorched-Earth Policy"
"380","Glen Alvelais","Testament"
"381","Glen Alvelais","Forbidden"
"382","Glen Alvelais","Hate FX"
"383","Glen Alvelais","Earth Crawler"
"384","Glen Alvelais","Forbidden Evil"
"385","Glen Alvelais","LD/50"
"386","Chuck Billy","Testament"
"387","Chuck Billy","Legacy"
"388","Chuck Billy","Dublin Death Patrol"
"389","Chuck Billy","Guilt"
"390","Eric Peterson","Dragonlord"
"391","Eric Peterson","Testament"
"392","Eric Peterson","Legacy"
"393","Alex Skolnick","Legacy"
"394","Alex Skolnick","Testament"
"395","Alex Skolnick","Savatage"
"396","Alex Skolnick","Trans-Siberian Orchestra"
"397","Alex Skolnick","Metal Allegiance"
"398","Greg Christian","Meshiaak"
"399","Greg Christian","Trinity Fallen"
"400","Greg Christian","Legacy"
"401","Greg Christian","HavocHate"
"402","Greg Christian","Trauma"
"403","Greg Christian","Testament"
"404","James Murphy","Konkhra"
"405","James Murphy","James Murphy"
"406","James Murphy","Testament"
"407","James Murphy","Hallows Eve"
"408","James Murphy","Death"
"409","James Murphy","Obituary"
"410","James Murphy","Disincarnate"
"411","Steve Smyth","From Hell"
"412","Steve Smyth","One Machine"
"413","Steve Smyth","The Esseness Project"
"414","Steve Smyth","Nevermore"
"415","Steve Smyth","Dragonlord"
"416","Steve Smyth","Testament"
"417","Steve Smyth","Forbidden"
"418","Steve Smyth","Vicious Rumors"
"419","George Clarke","Rise of Caligula"
"420","George Clarke","Deafheaven"
"421","Steve DiGiorgio","Futures End"
"422","Steve DiGiorgio","Charred Walls of the Damned"
"423","Steve DiGiorgio","Anatomy of I"
"424","Steve DiGiorgio","Johnny Newman"
"425","Steve DiGiorgio","Gone in April"
"426","Steve DiGiorgio","Synesis Absorption"
"427","Steve DiGiorgio","Beltfed Weapon"
"428","Steve DiGiorgio","Spirits of Fire"
"429","Steve DiGiorgio","Mythodea"
"430","Steve DiGiorgio","Faust"
"431","Steve DiGiorgio","Painmuseum"
"432","Steve DiGiorgio","Sebastian Bach"
"433","Steve DiGiorgio","Memorain"
